cycle,range_bin,doppler_bin,output_hex
1060515000,6,15,000f0007
1062395000,6,16,0057ffe3
1062405000,6,17,0092ffa5
1062415000,6,18,ff95fff6
1062425000,6,19,0009011d
1062435000,6,20,00cfff9b
1062445000,6,21,ff0f0041
1062455000,6,22,fd58fe55
1062465000,6,23,0454ff5f
1062475000,6,24,fca70029
1062485000,6,25,05460363
1062495000,6,26,fa6bfe4a
1062505000,6,27,03c9fd57
1062515000,6,28,ffb702a5
1062525000,6,29,fef1ff93
1062535000,6,30,0144ffcf
1062545000,6,31,fef2ffd1
1064425000,7,0,ffb6ffb8
1064435000,7,1,00170103
1064445000,7,2,0068ff01
1064455000,7,3,ff0b002f
1064465000,7,4,013fffd6
1064475000,7,5,fe7dff49
1064485000,7,6,00f6037b
1064495000,7,7,0092fc7b
1064505000,7,8,fcca00ce
1064515000,7,9,05bbfeab
1064525000,7,10,fba80481
1064535000,7,11,ff73fb2b
1064545000,7,12,026d0294
1064555000,7,13,ff75ff75
1064565000,7,14,ffbe0033
1064575000,7,15,003cff9f
1066455000,7,16,ff980056
1066465000,7,17,00980048
1066475000,7,18,fe7bff64
1066485000,7,19,019dffad
1066495000,7,20,fef80013
1066505000,7,21,02c8ffc0
1066515000,7,22,fcc603bc
1066525000,7,23,007dfbf1
1066535000,7,24,022c01c8
1066545000,7,25,fe40ff4a
1066555000,7,26,024102b6
1066565000,7,27,ff1ffcc7
1066575000,7,28,feb0022b
1066585000,7,29,00d0fefa
1066595000,7,30,0072004e
1066605000,7,31,0037ffaf
1068485000,8,0,ffef001c
1068495000,8,1,ff4cffd1
1068505000,8,2,01270023
1068515000,8,3,ff33ff23
1068525000,8,4,02960217
1068535000,8,5,fa57fc05
1068545000,8,6,040902c8
1068555000,8,7,fe390146
1068565000,8,8,01b9fbfa
1068575000,8,9,fea20471
1068585000,8,10,00c3fe29
1068595000,8,11,fcc3fefb
1068605000,8,12,050601b7
1068615000,8,13,fe1f001d
1068625000,8,14,ff39ff48
1068635000,8,15,00fdfff8
1070515000,8,16,0025006d
1070525000,8,17,fefe001c
1070535000,8,18,0022fdb1
1070545000,8,19,016b0217
1070555000,8,20,fe8e01d2
1070565000,8,21,030ffcce
1070575000,8,22,fb510372
1070585000,8,23,019dfd63
1070595000,8,24,fecd0003
1070605000,8,25,02720380
1070615000,8,26,fd7afd0b
1070625000,8,27,018d0315
1070635000,8,28,fe40fbbe
1070645000,8,29,01a10116
1070655000,8,30,ff9b00e2
1070665000,8,31,0003ff61
1072545000,9,0,ffe5ff8f
1072555000,9,1,003d009b
1072565000,9,2,fde4005a
1072575000,9,3,029efd2a
1072585000,9,4,fede04b8
1072595000,9,5,01a5fbce
1072605000,9,6,fbef036d
1072615000,9,7,051bfd7e
1072625000,9,8,fbe9ffbd
1072635000,9,9,01d90153
1072645000,9,10,ffa600e0
1072655000,9,11,ffe0fed4
1072665000,9,12,00d400a4
1072675000,9,13,ff61feb8
1072685000,9,14,003f00c1
1072695000,9,15,00130000
1074575000,9,16,00460069
1074585000,9,17,ff0fff8a
1074595000,9,18,016aff87
1074605000,9,19,00120112
1074615000,9,20,0043000e
1074625000,9,21,ffad0143
1074635000,9,22,ff08fc1b
1074645000,9,23,01fa0476
1074655000,9,24,fbbafc6d
1074665000,9,25,055703da
1074675000,9,26,fd84fea7
1074685000,9,27,ff16fed6
1074695000,9,28,01c900e0
1074705000,9,29,ff51feed
1074715000,9,30,003600db
1074725000,9,31,0032ffa6
1076605000,10,0,ffceffe5
1076615000,10,1,00adffa2
1076625000,10,2,fe7c0211
1076635000,10,3,00d3fd9d
1076645000,10,4,008f01de
1076655000,10,5,01aafdea
1076665000,10,6,fb5302cb
1076675000,10,7,0265fe98
1076685000,10,8,01f8fe1f
1076695000,10,9,fe01039e
1076705000,10,10,01ecfe03
1076715000,10,11,fbefff61
1076725000,10,12,03c30082
1076735000,10,13,ff0c0072
1076745000,10,14,ffa5ffcd
1076755000,10,15,fffdffbe
1078635000,10,16,fffe0002
1078645000,10,17,001d0045
1078655000,10,18,00eefe6a
1078665000,10,19,00e50265
1078675000,10,20,fc13ff5b
1078685000,10,21,0465ffac
1078695000,10,22,fd07ffd9
1078705000,10,23,002c021f
1078715000,10,24,001afcb2
1078725000,10,25,01a10221
1078735000,10,26,00dafd44
1078745000,10,27,fd710493
1078755000,10,28,00f5fd31
1078765000,10,29,01350062
1078775000,10,30,ffb10091
1078785000,10,31,0006ffad
1080665000,11,0,ff86ffa2
1080675000,11,1,006e0004
1080685000,11,2,fefa0169
1080695000,11,3,0114fdf7
1080705000,11,4,fe5c011f
1080715000,11,5,0404fd86
1080725000,11,6,fa7405c9
1080735000,11,7,0318fc54
1080745000,11,8,00dafe10
1080755000,11,9,ff02023c
1080765000,11,10,ff0c0123
1080775000,11,11,009efd17
1080785000,11,12,00340353
1080795000,11,13,0050fdaa
1080805000,11,14,ff6e007f
1080815000,11,15,009a0036
1082695000,11,16,ffd20040
1082705000,11,17,0007ffbf
1082715000,11,18,ff51feb2
1082725000,11,19,0472027d
1082735000,11,20,f9b9ff3a
1082745000,11,21,03c2ffac
1082755000,11,22,feda0033
1082765000,11,23,02b50078
1082775000,11,24,fd74ff3a
1082785000,11,25,fe07016f
1082795000,11,26,030500d4
1082805000,11,27,fe9afeed
1082815000,11,28,003dfe58
1082825000,11,29,007c015a
1082835000,11,30,ffccff43
1082845000,11,31,008b0062
1084725000,12,0,ffe6ffdc
1084735000,12,1,000e0093
1084745000,12,2,001a005f
1084755000,12,3,0026fea5
1084765000,12,4,003f015c
1084775000,12,5,005dfc2d
1084785000,12,6,ff400699
1084795000,12,7,ff9afbcf
1084805000,12,8,000cfd9e
1084815000,12,9,0104034f
1084825000,12,10,ffde01f3
1084835000,12,11,fda6fb89
1084845000,12,12,02c7032a
1084855000,12,13,fe85fde9
1084865000,12,14,006001c5
1084875000,12,15,0016ff5b
1086755000,12,16,0019002f
1086765000,12,17,ffff0026
1086775000,12,18,fdc9fdb7
1086785000,12,19,03f501fb
1086795000,12,20,fb630028
1086805000,12,21,06f4fd3f
1086815000,12,22,fa4e0448
1086825000,12,23,0014fd2a
1086835000,12,24,022d00bf
1086845000,12,25,fe03ffaa
1086855000,12,26,022701f7
1086865000,12,27,fe6f006d
1086875000,12,28,fea3fd7a
1086885000,12,29,01b2fffd
1086895000,12,30,ff7e005a
1086905000,12,31,0028ffd2
1088785000,13,0,ffe9ff97
1088795000,13,1,ff860020
1088805000,13,2,01990154
